range,id,name,country,status,tech,maintainer,admin,source,whois_domain,updated,org,rdns_domain,domain,geoloc,org_address,asn,as_name,as_domain,as_type
195.6.170.163,FR-GROUPEMENT-DE-RECHERCHE-CYTOLOGIQUE-LGYS1,41 ALL CYPRES,FR,ASSIGNED PA,AA2914-RIPE,RAIN-TRANSPAC,AA2914-RIPE,ripe,orange-business.com,2012-08-20,ORG-OBS3-RIPE,,orange-business.com,,6 avenue Albert Durand\n31700 Blagnac France,AS3215,Orange S.A.,orange.com,isp
66.137.228.32/29,SBCIS-101830-13312,Kent Herald,US,REASSIGNMENT,,,,arin,,2001-08-30,C00214380,,kentherald.co.uk,,"np, Richardson, TX, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
202.238.55.160/29,SAKAI-NET1,Fukui Pref Sakai High School,JP,,HS66025JP,,HS66025JP,jpnic,,2024-11-08,,,,,,AS17961,"mitene internet co., ltd.",mitene.co.jp,hosting
83.98.254.68/30,NL-VROOM,Vroom BV,NL,ASSIGNED PA,SPAC1-RIPE,RIPE-NCC-HM-MNT\NAS15542-MNT,SPAC1-RIPE,ripe,speedxs.net,2008-04-25,ORG-ZB1-RIPE,,speedxs.net,,Overschieseweg 203\n3112 NB\nSchiedam\nNETHERLANDS,AS30925,DELTA Fiber Nederland B.V.,deltafibernederland.nl,isp
110.174.60.244/30,TPGINTERNETPTYLTD,TPG Internet Pty Ltd.,AU,ASSIGNED NON-PORTABLE,TH178-AP,MAINT-AU-TPGCOM,TH178-AP,apnic,tpg.com.au,2021-05-12,,tpg.com.au,tpg.com.au,,,AS7545,TPG Telecom Limited,tpgtelecom.com.au,isp
194.51.26.160/28,FR-CONSEIL-GENERAL,OBS Customer,FR,ASSIGNED PA,MP25023-RIPE,RAIN-TRANSPAC,MP25023-RIPE,ripe,oria.fr,2017-01-16,ORG-OBS3-RIPE,,oria.fr,,6 avenue Albert Durand\n31700 Blagnac France,AS3215,Orange S.A.,orange.com,isp
2.116.18.248/29,OFFICINETOSHSRL,OFFICINE TOSH S.R.L.,IT,ASSIGNED PA,GMDB6-RIPE,RIPE-NCC-HM-MNT\NINTERB-MNT,GMDB5-RIPE,ripe,telecomitalia.it,2020-04-09,ORG-IA34-RIPE,,telecomitalia.it,,Via Oriolo Romano 240\nI-00189\nRoma\nITALY,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp
88.35.255.204/30,VENDITASERVICESRL,.VENDITASERVICE S.R.L.,IT,ASSIGNED PA,LC15644-RIPE,RIPE-NCC-HM-MNT\NINTERB-MNT,LC15644-RIPE,ripe,telecomitalia.it,2022-07-14,ORG-IA34-RIPE,,telecomitalia.it,,Via Oriolo Romano 240\nI-00189\nRoma\nITALY,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp
64.171.221.8/29,SBCIS-10128-174739,Jack Ritchie,US,REASSIGNMENT,,,,arin,,2001-02-09,C00148375,,morelifeclinic.co.uk,,"268 Bush St. #5000, San Francisco, CA, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
81.59.232.64/29,TELE2-CUST-ORDINA-BPO,Tele2 Corporate Internet customer,NL,ASSIGNED PA,VT1029-RIPE,RIPE-NCC-HM-MNT\NMNT-TMONL,VT1029-RIPE,ripe,tele2.com,2009-10-07,ORG-TNB2-RIPE,,odido.nl,,Waldorpstraat 60\n2521 CC\nDen Haag\nNETHERLANDS,AS13127,Odido Netherlands B.V.,odido.nl,isp
